id,type1,type2,name,cat_id,seller_id,status,cat1,componentiIds,image1,shopable_video_ids,store_names
475,Product,,Dilli ki Sardi,,[7185],on,,"[""27367"",""27375"",""27378"",""27451"",""27458"",""27620"",""27621"",""27628"",""27630"",""27636"",""27639"",""27640"",""27642"",""27648"",""27698"",""27703"",""27708"",""27710"",""27711"",""27825"",""27958"",""27969"",""27974"",""27976"",""27982"",""27985"",""28213""]",https://zulushop.in/uploads/media/2026/Galleries/Dilli_ki_Sardi_1767263301684_suwcrb.png,,Zulu Urbana Premium
476,Product,,Tha jharnas,,[7185],on,,"[""26973"",""26974"",""26975"",""26976"",""26977"",""26979"",""26980"",""26981"",""26982"",""26983"",""26984"",""26985"",""26986"",""26987"",""26988"",""26989"",""26990""]",https://zulushop.in/uploads/media/2025/Tha_jharna__2__1769010404341_jx952z.png,"[496,500,495,497]",Zulu Urbana Premium
477,Product,,The Art,,"[5532,7185]",on,,"[""27059"",""27060"",""27061"",""27099"",""27100"",""27101"",""27102"",""27103"",""27104"",""27105"",""27106"",""27111"",""27116"",""27118"",""27120"",""27125"",""27129"",""27130"",""27133"",""27134"",""27137"",""27140"",""27143"",""27145"",""27146"",""27147"",""27156"",""27159"",""27208"",""27213"",""27215"",""27217"",""27220"",""27221"",""27227"",""27231"",""27245"",""27246"",""27247"",""27248"",""27249"",""27250"",""27252"",""27253"",""27254"",""27255"",""27256"",""27257"",""27258"",""27259"",""27263"",""27268"",""27269"",""27271"",""27274"",""27275"",""27276"",""27281"",""27282"",""27287"",""27293"",""27295"",""27298"",""27302"",""27303"",""27304"",""27305"",""27306"",""27307"",""27315"",""27319"",""27327"",""27330"",""27331"",""27334"",""27336"",""27340"",""27341"",""27342"",""27343"",""27345"",""27347"",""27349"",""27358"",""27359"",""27360"",""27362"",""27444"",""27728"",""27900"",""27935"",""27954"",""27957"",""28146"",""28136""]",https://zulushop.in/uploads/media/2025/The_Art__3__1769012901719_4h1qn4.png,"[444,505,506,511,512,513,514,515,518,527]","Zulu Urbana Premium, Zulu Sector 65"
478,Product,,The Faith,,[5532],on,,"[""27037"",""27038"",""27039"",""27041"",""27042"",""27043"",""27044"",""27045"",""27046"",""27047"",""27048"",""27049"",""27050"",""27051"",""27052"",""27053"",""27057"",""27058"",""27062"",""27063"",""27064"",""27065"",""27070"",""27071"",""27072"",""27073"",""27074"",""27075"",""27076"",""27077"",""27079"",""27080"",""27081"",""27082"",""27083"",""27084"",""27085"",""27086"",""27087"",""27088"",""27089"",""27090"",""27092"",""27093"",""27094"",""27095"",""27096"",""27097"",""27098"",""27441"",""27443"",""27664"",""27665"",""27720"",""27721"",""28147"",""28632"",""28633"",""28637"",""28668""]",https://zulushop.in/uploads/media/2025/The_Faith__3__1769012944846_q6amtu.png,"[504,507,508,517,520,509,519]",Zulu Sector 65
479,Product,,The Gadgets,,[7185],off,,"[""23746"",""21627"",""21615"",""21614""]",https://zulushop.in/uploads/media/2026/Galleries/The_Gadgets_1767263333609_wrae1w.png,,Zulu Urbana Premium
480,Product,,The Games,,[7185],on,,"[""27148"",""27149"",""27150"",""27151"",""27152"",""27153"",""27154"",""27155""]",https://zulushop.in/uploads/media/2025/The_Games__3__1769012995170_9ismow.png,,Zulu Urbana Premium
481,Product,,The Ghadi,,[7185],on,,"[""26955"",""26956"",""26957"",""26958"",""26959"",""26960"",""26961"",""26962"",""26963"",""26964"",""27726"",""27727""]",https://zulushop.in/uploads/media/2026/Galleries/The_Ghadi_1767263344568_qmh2r5.png,"[440,463]",Zulu Urbana Premium
482,Product,,The Jhula,,[7185],on,,"[""26966"",""26968"",""26969"",""26970"",""26971"",""26972""]",https://zulushop.in/uploads/media/2026/Galleries/The_Jhula_1767263355198_6x2vgp.png,"[498,499,501]",Zulu Urbana Premium
483,Product,,The Kaleen,,[5532],on,,"[""27521"",""27529"",""27552"",""27553"",""27812""]",https://zulushop.in/uploads/media/2026/Galleries/The_Kaleen_1767263360677_aqc2gt.png,"[522,523,525]",Zulu Sector 65
484,Product,,The Kambal,,[7185],on,,"[""26658"",""26666"",""26672"",""26671""]",https://zulushop.in/uploads/media/2026/Galleries/The_Kambal_1767263366091_lblnyx.png,"[522,523]",Zulu Urbana Premium
485,Product,,The Kitchen,,[5532],on,,"[""26991"",""26992"",""26993"",""26994"",""26995"",""26996"",""26997"",""26999"",""27000"",""27001"",""27002"",""27003"",""27004"",""27005"",""27006"",""27007"",""27008"",""27009"",""27010"",""27011"",""27012"",""27013"",""27160"",""27161"",""27162"",""27163"",""27164"",""27165"",""27166"",""27167"",""27168"",""27169"",""27178"",""27179"",""27180"",""27182"",""27190"",""27191"",""27192"",""27193"",""27195"",""27196"",""27198"",""27199"",""27200"",""27201"",""27202"",""27204"",""27205"",""27207"",""27414"",""27416"",""27417"",""27425"",""27462"",""27464"",""27466"",""27468"",""27657"",""27658"",""27660"",""27661"",""27662"",""27672"",""27675"",""27678"",""27679"",""27682"",""27683"",""27684"",""27685"",""27688"",""27689"",""27690"",""27691"",""27692"",""27693"",""27694"",""27695"",""27697"",""28230""]",https://zulushop.in/uploads/media/2026/Galleries/The_Kitchen_1767263371348_gy9blz.png,[338],Zulu Sector 65
486,Product,,The Lanterns,,[7185],on,,"[""26833"",""26834"",""26835"",""26836"",""26837"",""26838"",""26476"",""26840"",""26842"",""26843"",""26844"",""26845"",""26846"",""26847"",""26848"",""26849"",""26850"",""26851"",""27300"",""27301""]",https://zulushop.in/uploads/media/2026/Galleries/The_Lanterns_1767263382162_wgjzl4.png,"[437,529,528]",Zulu Urbana Premium
487,Product,,The basket,,[5532],on,,"[""27014"",""27015"",""27016"",""27017"",""27018"",""27019"",""27020"",""27021"",""27022"",""27023"",""27024"",""27025"",""27026"",""27027"",""27028"",""27029"",""27030"",""27031"",""27032"",""27033"",""27034"",""27035"",""27036"",""27170"",""27177"",""27650"",""27656"",""27663""]",https://zulushop.in/uploads/media/2026/Galleries/The_basket_1767263317896_2txvoc.png,[526],Zulu Sector 65
488,Product,,The cushion,,[5532],on,,"[""26938"",""26939"",""26940"",""26941"",""26942"",""26943"",""26944"",""26945"",""26946"",""26947"",""26948"",""26949"",""26950"",""26952"",""26953"",""26954"",""27386"",""27391"",""27399"",""27409""]",https://zulushop.in/uploads/media/2026/Galleries/The_cushion_1767263323134_qthcvy.png,"[441,524]",Zulu Sector 65
489,Product,,The hasrat,,[5532],on,,"[""19349"",""19351"",""19353"",""24141""]",https://zulushop.in/uploads/media/2025/The_hasrat__3__1769013061697_jyrqn9.png,"[469,68]",Zulu Sector 65
490,Product,,The kursi,,[5532],on,,"[""26925"",""26926"",""26927"",""26928"",""26929"",""26930"",""26931"",""26932"",""26933"",""26934"",""26935"",""26936"",""26937"",""28229""]",https://zulushop.in/uploads/media/2025/The_kursi__2__1769004440291_50y079.png,"[268,521]",Zulu Sector 65
491,Product,,The mudha,,"[273,274]",on,,"[""26906"",""26907"",""26908"",""26909"",""26911"",""26912"",""26913"",""26914"",""26915"",""26916"",""26917"",""26918"",""26919"",""26920"",""26921"",""26922"",""26923"",""26924"",""27183"",""27184"",""27185"",""27189"",""27956"",""28498""]",https://zulushop.in/uploads/media/2026/Galleries/The_mudha_1767263387792_u7luv4.png,[258],"The Quince Life Urbana, Seevan Apparels Urbana"
492,Product,,The painting,,[7185],on,,"[""26853"",""26854"",""26855"",""26856"",""26857"",""26858"",""26859"",""26860"",""26861"",""26862"",""26864"",""26865"",""26866"",""26867"",""26868"",""26870"",""26871"",""26872"",""26873"",""26874"",""26875"",""26876"",""26877"",""26878"",""26879"",""26880"",""26881"",""26882"",""26883"",""26884"",""26885"",""27712""]",https://zulushop.in/uploads/media/2025/The_vase__3__1769004317127_usdck7.png,"[96,444]",Zulu Urbana Premium
